id,default,idade,sexo,dependentes,escolaridade,estado_civil,salario_anual,tipo_cartao,meses_de_relacionamento,qtd_produtos,iteracoes_12m,meses_inativo_12m,limite_credito,valor_transacoes_12m,qtd_transacoes_12m
768805383,0,45,M,3,ensino medio,casado,$60K - $80K,blue,39,5,3,1,"12.691,51","1.144,90",42
818770008,0,49,F,5,mestrado,solteiro,menos que $40K,blue,44,6,2,1,"8.256,96","1.291,45",33
713982108,0,51,M,3,mestrado,casado,$80K - $120K,blue,36,4,0,1,"3.418,56","1.887,72",20
709106358,0,40,M,3,sem educacao formal,casado,$60K - $80K,blue,21,5,0,1,"4.716,22","816,08",28
713061558,0,44,M,2,mestrado,casado,$40K - $60K,blue,36,3,2,1,"4.010,69","1.088,07",24
710930508,0,37,M,3,sem educacao formal,solteiro,$60K - $80K,blue,36,5,0,2,"22.352,50","1.350,14",24
719661558,0,48,M,2,mestrado,solteiro,$80K - $120K,blue,36,6,3,3,"11.656,41","1.441,73",32
710599683,0,56,M,1,graduacao,solteiro,$80K - $120K,blue,36,3,0,6,"11.751,09","1.539,95",17
712396908,0,57,F,2,mestrado,casado,menos que $40K,blue,48,5,2,2,"2.436,00","1.570,23",29
709967358,0,48,M,4,doutorado,solteiro,$80K - $120K,blue,36,6,3,2,"30.367,57","1.671,12",27
806160108,0,61,M,1,ensino medio,casado,$40K - $60K,blue,56,2,3,2,"3.193,51","1.336,54",30
806165208,0,47,M,1,doutorado,divorciado,$60K - $80K,blue,42,5,0,2,"20.979,05","1.178,72",27
708508758,1,62,F,0,mestrado,casado,menos que $40K,blue,49,2,3,3,"1.438,73","692,25",16
784725333,0,41,M,3,ensino medio,casado,$40K - $60K,blue,33,4,1,2,"4.470,45","931,04",18
771071958,0,41,F,3,mestrado,solteiro,menos que $40K,blue,28,6,2,1,"7.768,43","1.052,00",22
806624208,0,47,M,4,ensino medio,casado,$40K - $60K,blue,42,6,0,0,"4.785,24","1.045,67",38
712991808,0,53,M,2,sem educacao formal,casado,$60K - $80K,blue,48,2,1,5,"2.451,40","1.596,34",26
709029408,0,41,M,4,mestrado,casado,$60K - $80K,blue,36,4,2,1,"8.923,23","1.589,11",24
788658483,0,53,F,2,graduacao,casado,menos que $40K,blue,38,5,3,2,"2.650,38","1.411,63",28
787937058,0,58,M,0,mestrado,casado,$80K - $120K,blue,49,6,2,2,"12.555,16","1.291,68",24
715318008,0,55,F,1,graduacao,solteiro,menos que $40K,blue,36,4,1,2,"3.520,61","1.407,71",43
713962233,0,55,F,3,mestrado,casado,menos que $40K,blue,36,6,3,2,"3.035,78","1.877,05",37
785432733,0,42,F,4,ensino medio,casado,menos que $40K,gold,36,2,3,3,"15.433,35","966,80",22
827111283,0,45,M,3,mestrado,solteiro,$80K - $120K,blue,41,2,2,2,"32.426,29","1.109,51",28
773146383,0,50,F,1,graduacao,solteiro,$40K - $60K,silver,43,3,3,2,"17.304,68","1.756,00",33
778493808,0,49,M,3,ensino medio,casado,$60K - $80K,blue,37,5,1,2,"3.906,40","1.756,49",32
712661433,0,49,M,4,sem educacao formal,solteiro,$80K - $120K,blue,30,3,3,2,"34.516,07","1.444,77",28
789172683,0,56,M,2,doutorado,casado,$60K - $80K,blue,45,6,0,2,"2.283,59","1.741,52",27
738406533,0,59,M,1,doutorado,casado,$40K - $60K,blue,52,3,2,2,"2.548,58","1.719,18",27
799723908,0,46,M,3,ensino medio,casado,$80K - $120K,blue,40,4,3,3,"19.458,61","1.217,71",27
771490833,0,52,M,1,graduacao,solteiro,$80K - $120K,blue,40,5,1,1,"4.745,36","1.140,09",40
779471883,1,54,F,1,mestrado,casado,menos que $40K,blue,40,2,1,3,"1.438,08","705,59",19
711525033,0,66,F,0,ensino medio,casado,menos que $40K,blue,54,3,2,4,"3.171,17","1.946,81",38
714374133,1,56,M,2,mestrado,casado,$120K +,blue,36,1,3,3,"15.769,34","602,60",15
716632758,0,49,F,3,mestrado,solteiro,menos que $40K,blue,36,2,0,2,"2.802,32","1.295,77",40
768563658,0,56,M,2,sem educacao formal,casado,$40K - $60K,blue,50,4,3,2,"4.458,72","1.424,23",29
714091983,0,42,M,2,ensino medio,solteiro,$60K - $80K,blue,34,4,3,4,"3.336,16","1.168,25",27
712030833,1,48,M,2,mestrado,casado,$60K - $80K,silver,35,2,4,4,"34.516,60","691,10",15
711481533,0,39,M,1,ensino medio,divorciado,$60K - $80K,blue,33,5,3,3,"5.926,84","1.316,35",28
710082708,0,44,M,4,doutorado,solteiro,$120K +,blue,32,2,2,4,"23.957,43","1.276,73",26
708155733,0,53,M,2,ensino medio,solteiro,$120K +,blue,44,4,2,2,"14.734,78","1.289,07",23
788979258,0,51,M,4,sem educacao formal,solteiro,$80K - $120K,silver,38,4,4,1,"34.516,43","1.293,87",32
807986133,0,57,M,2,graduacao,casado,$60K - $80K,blue,52,5,3,3,"6.585,00","1.353,02",35
788730933,0,44,F,2,sem educacao formal,solteiro,menos que $40K,blue,20,6,3,3,"2.084,40","1.132,88",28
711314058,0,49,M,2,mestrado,casado,$60K - $80K,blue,32,2,2,2,"1.687,32","1.670,43",17
717975333,0,50,M,2,doutorado,casado,$80K - $120K,blue,38,6,2,2,"25.300,81","837,74",15
715971108,0,51,M,4,mestrado,solteiro,$120K +,blue,42,3,3,2,"34.516,09","1.550,71",41
720096558,0,55,F,2,mestrado,casado,menos que $40K,blue,42,5,3,3,"2.216,16","1.540,51",36
820582308,0,42,M,5,sem educacao formal,casado,$80K - $120K,blue,37,6,2,2,"22.913,54","1.394,75",35
789973308,0,44,M,1,graduacao,solteiro,$60K - $80K,blue,35,3,3,3,"24.312,55","1.341,81",24
712876233,0,53,M,2,mestrado,solteiro,$80K - $120K,blue,36,5,2,3,"5.272,70","1.289,65",33
804595158,0,44,F,4,mestrado,solteiro,menos que $40K,blue,36,6,2,4,"7.000,35","1.112,55",23
714826758,0,37,F,3,sem educacao formal,solteiro,menos que $40K,blue,29,4,2,4,"7.038,51","2.339,31",57
779058108,0,49,M,3,mestrado,divorciado,$60K - $80K,blue,30,6,2,1,"2.536,00","1.468,07",23
710790258,0,47,M,2,mestrado,casado,$80K - $120K,blue,38,6,2,3,"28.904,11","1.334,19",35
715623483,0,47,M,3,mestrado,casado,$60K - $80K,blue,37,4,0,4,"8.567,99","1.457,17",41
